generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
c1cc(-c2ccnc(NC3CC3)n2)cc(NC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.358974358974359
C1=CC(c2ccc(Nc3nccc(-c4cc[nH]c4)n3)cc2)=CC1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.36
c1ccc(Nc2nc(Nc3ccncc3)ncc2C2CC2)cc1,c1ccc(Nc2nccc(-c3ccncc3)n2)cc1,0.3611111111111111
c1cc(NC2CCNCC2)nc(Nc2ccc(-c3cn[nH]c3)cc2)n1,c1ccc(Nc2ccnc(Nc3cn[nH]c3)n2)cc1,0.3614457831325301
c1cc(-c2nccnc2NC2CCC2)nc(NC2CC2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.3625
c1cc(-c2c[nH]c(C3COC3)c2)nc(NC2CC2)n1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.3626373626373626
c1cc(-c2ccc(NC3=NCCN3)cc2)nc(NC2CC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3626373626373626
C=C1CCC(Nc2nccc(-c3c[nH]cc3-c3cn[nH]c3)n2)CC1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.3626373626373626
O=C1Cc2c(-c3ccnc(NC4CCCSCC4)n3)c[nH]c2N1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.36363636363636365
O=C1Cc2ncc(-c3ccnc(NC4CCC4)n3)cc2CN1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3645833333333333
O=C1C=CC(c2ccc(Nc3nccc(-c4cc[nH]c4)n3)cc2)=C1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.36486486486486486
O=C1C=C(c2ccc(Nc3nccc(-c4cn[nH]c4)n3)cc2)C1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.36486486486486486
O=C(c1ccc(Nc2nccc(-c3cn[nH]c3)n2)cc1)N1CCC1,O=C(Nc1ccc(Nc2nccc(-c3cccnc3)n2)cc1)c1ccccc1,0.3655913978494624
c1cc(-c2cncnc2N2CCCC3CC32)nc(NC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3655913978494624
C=C1CCC(Nc2nccc(-c3c[nH]c4scnc34)n2)CC1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.3655913978494624
O=c1[nH]c(-c2ccnc(NC3CC3)n2)cnc1C1CC1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.36585365853658536
c1cnc(NC2CCC(Nc3nccc(-c4cn[nH]c4)n3)CC2)nc1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.36666666666666664
C(=CC1CCCOC1)c1[nH]ncc1-c1ccnc(Nc2ccccc2)n1,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.3673469387755102
c1cc(-c2ccnc(NC3CC3)n2)nc(NCC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3684210526315789
O=c1nc(-c2ccnc(NC3CC3)n2)cc[nH]1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3684210526315789
